EAN;Produto;Fabricante;Categoria;NCM;CEST;EAN adicional;Fornecedor;Ativo
7622300830151;BOLACHA OREO ORIGINAL 90G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622300859770;GELATINA ROYAL UVA;GENÉRICO;MERCEARIA;;;;;TRUE
7622300859817;GELATINA ROYAL MORANGO;GENÉRICO;MERCEARIA;;;;;TRUE
7622300873554;BOLACHA OREO CHOCOLATE 90G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622300989408;BOLACHA OREO MORANGO 90GR;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7622300990701;CLUB SOCIAL ORIGINAL 144G;GENÉRICO;BOLOS E BOLACHAS;;;;;TRUE
7702018118823;BARBEADOR GILLETTE PROBAK C/1 UND;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7790070225580;AZEITE DE OLIVA EXTRA VIRGEM COCINERO 250ML;GENÉRICO;MERCEARIA;;;;;TRUE
7790984005285;VINHO BRANCO LAS ESTÂNCIAS 750ML;GENÉRICO;VINHOS;;;;;TRUE
7791293022598;DESODORANTE REXONA MEN 72H 150ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293022635;DESODORANTE REXONA MEN INVISIBLE 150ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293032436;DESODORANTE REXONA FEMININO POWDER DRY150ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035802;DESODORANTE REXONA POWDER DRY 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035819;DESODORANTE REXONA INVISIBLE MEN 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035826;DESODORANTE REXONA COTTON DRY 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035857;DESODORANTE REXONA ACTIVE DRY 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035864;DESODORANTE REXONA INVISIBLE 200 ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791293035871;DESODORANTE REXONA CONTROL 200ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7791969016029;DESODORANTE NIVEA MAN DRY IMPACT 150ML;GENÉRICO;HIGIENE PESSOAL;;;;;TRUE
7794990880720;QUEIJO MUSSARELA LA PAULINA 150G;GENÉRICO;FRIOS;;;;;TRUE
7798001610368;VINHO HORMIGA NEGRA 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798001610429;VINHO HORMIGA NEGRA SWEET 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798001610764;VINHO ROSE HORMIGA NEGRA 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798001612287;VINHO HORMIGA NEGRA MALBEC 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798039590496;VINHO CONCHA Y TORO MERLOT 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798040463352;PIRULITO RING POP C/1 UND;GENÉRICO;DOCES;;;;;TRUE
7798073080038;VINHO CASSONE C.S. 750 ML;GENÉRICO;VINHOS;;;;;TRUE
7798073083022;VINHO CASSONE MALBEC 750ML;GENÉRICO;VINHOS;;;;;TRUE
7798073083053;VINHO MALBEC PREMIUM CASSONE 750ML;GENÉRICO;VINHOS;;;;;TRUE
